Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Parent,Parent key,Parent summary,Status Category,Status Category Changed
(Sample) Integrate OAuth2 Authentication,SCRUM-14,10013,Task,In Review,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,Integrate OAuth2 protocol to support Google and Facebook login options.,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37ab1dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,In Progress,04/Aug/25 2:04 PM
(Sample) Integrate Payment Gateway API,SCRUM-13,10012,Task,Done,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,Connect the app with Stripe and PayPal APIs for processing payments.,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a0d97ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10001,SCRUM-1,(Sample) Payment Processing,Done,04/Aug/25 2:04 PM
(Sample) Remember Me Option,SCRUM-12,10011,Story,To Do,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"As a user, I want to stay logged in on my trusted devices so I don't have to enter my credentials every time.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6236551d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,To Do,04/Aug/25 2:04 PM
(Sample) Implement Session Timeout Logic,SCRUM-9,10009,Task,In Progress,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"Add logic to automatically log out users after a period of inactivity, with a warning prompt 5 minutes before timeout.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d7bdcc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,In Progress,04/Aug/25 2:04 PM
(Sample) User Login,SCRUM-8,10005,Story,In Review,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"As a user, I want to log in to my account so that I can access my payment history.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f100740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00013:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,In Progress,04/Aug/25 2:04 PM
(Sample) Set Up Payment Logging,SCRUM-7,10002,Task,In Review,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,04/Aug/25 2:41 PM,,,0,"Create a logging system to store payment transaction metadata (timestamps, amounts, status) for audit and debugging purposes.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7190c733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001r:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10001,SCRUM-1,(Sample) Payment Processing,In Progress,04/Aug/25 2:04 PM
(Sample) Credit Card Payment,SCRUM-6,10007,Story,Done,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"As a user, I want to make payments using my credit card.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@671d3621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001b:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10001,SCRUM-1,(Sample) Payment Processing,Done,04/Aug/25 2:04 PM
(Sample) Password Recovery,SCRUM-5,10004,Story,In Progress,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"As a user, I want to recover my password in case I forget it.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67e5389a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000n:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,In Progress,04/Aug/25 2:04 PM
(Sample) Payment Confirmation,SCRUM-4,10003,Story,In Review,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:04 PM,,,,0,"As a user, I want to receive a confirmation after making a payment.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15e8a1cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10001,SCRUM-1,(Sample) Payment Processing,In Progress,04/Aug/25 2:04 PM
Implement biometric login with face recognition,SCRUM-3,10008,Task,To Do,SCRUM,Cyber Security Center,software,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Your first project,,,,,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,04/Aug/25 2:04 PM,04/Aug/25 2:17 PM,20/Sep/25 2:12 PM,,,0,"As a user, face recognition can be used to log in, enabling quick and secure access to an account without manually entering a password.",,Shantu Asif Hossain,5fcce07aa237f7006fdd36ef,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5118580f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001j:,,,,,SCRUM Sprint 0,,,,,,,,,,,,,,,10000,SCRUM-2,(Sample) User Authentication,To Do,04/Aug/25 2:04 PM
